prime: 1| Time: 119 millisecn
prime: 3| Time: 6 millisecn
prime: 5| Time: 5 millisecn
prime: 7| Time: 7 millisecn
prime: 11| Time: 21 millisecn
prime: 13| Time: 6 millisecn
prime: 17| Time: 7 millisecn
prime: 19| Time: 7 millisecn
prime: 23| Time: 8 millisecn
prime: 29| Time: 8 millisecn
prime: 31| Time: 13 millisecn
prime: 37| Time: 7 millisecn
prime: 41| Time: 7 millisecn
prime: 43| Time: 25 millisecn
prime: 47| Time: 22 millisecn
prime: 53| Time: 6 millisecn
prime: 59| Time: 6 millisecn
prime: 61| Time: 48 millisecn
prime: 67| Time: 10 millisecn
prime: 71| Time: 10 millisecn
prime: 73| Time: 6 millisecn
prime: 79| Time: 7 millisecn
prime: 83| Time: 5 millisecn
prime: 89| Time: 8 millisecn
prime: 97| Time: 6 millisecn
